date,USD,EUR
16.06.2021,26.9258,32.6166
17.06.2021,27.0275,32.7722
18.06.2021,27.1712,32.4424
19.06.2021,27.1712,32.4424
20.06.2021,27.1712,32.4424
21.06.2021,27.1712,32.4424
22.06.2021,27.1935,32.2882
23.06.2021,27.305,32.467
24.06.2021,27.2737,32.6003
25.06.2021,27.4589,32.7928
26.06.2021,27.4589,32.7928
27.06.2021,27.4589,32.7928
28.06.2021,27.4589,32.7928
29.06.2021,27.3964,32.7401
30.06.2021,27.1763,32.3018
01.07.2021,27.2275,32.3463
02.07.2021,27.3841,32.5227
03.07.2021,27.3841,32.5227
04.07.2021,27.3841,32.5227
05.07.2021,27.4121,32.4107
06.07.2021,27.290399999999998,32.3732
07.07.2021,27.2497,32.2623
08.07.2021,27.2993,32.291
09.07.2021,27.2862,32.3191
10.07.2021,27.2862,32.3191
11.07.2021,27.2862,32.3191
12.07.2021,27.3234,32.4056
13.07.2021,27.290399999999998,32.3459
14.07.2021,27.3216,32.372
15.07.2021,27.3047,32.2482
16.07.2021,27.2905,32.2369
17.07.2021,27.2905,32.2369
18.07.2021,27.2905,32.2369
19.07.2021,27.2301,32.141
20.07.2021,27.2132,32.0313
21.07.2021,27.2205,32.0344
22.07.2021,27.2405,32.0607
23.07.2021,27.1915,32.0343
24.07.2021,27.1915,32.0343
25.07.2021,27.1915,32.0343
26.07.2021,27.048,31.845
27.07.2021,26.9805,31.8087
28.07.2021,26.906,31.7814
29.07.2021,26.8628,31.7021
30.07.2021,26.8867,31.9239
31.07.2021,26.8867,31.9239
01.08.2021,26.8867,31.9239
02.08.2021,26.8168,31.8946
03.08.2021,26.8444,31.9032
04.08.2021,26.8411,31.8913
05.08.2021,26.9094,31.9482
06.08.2021,26.9395,31.8964
07.08.2021,26.9395,31.8964
08.08.2021,26.9395,31.8964
09.08.2021,26.834600000000002,31.6756
10.08.2021,26.8011,31.5302
11.08.2021,26.7557,31.3617
12.08.2021,26.8042,31.4105
13.08.2021,26.7686,31.421
14.08.2021,26.7686,31.421
15.08.2021,26.7686,31.421
16.08.2021,26.6931,31.3978
17.08.2021,26.6457,31.3633
18.08.2021,26.6752,31.382
19.08.2021,26.6455,31.2379
20.08.2021,26.6504,31.169
21.08.2021,26.6504,31.169
22.08.2021,26.6504,31.169
23.08.2021,26.6504,31.169
24.08.2021,26.6504,31.169
25.08.2021,26.6718,31.1287
26.08.2021,26.7074,31.3438
27.08.2021,26.7744,31.5121
28.08.2021,26.929,31.6645
29.08.2021,26.929,31.6645
